tag	type	c_code	l_name	officialStatus	populationPercent	references	writingPercent	geo	ISO
ms_Arab-ID	ms_Arab	ID	Malay (Arabic)		0.0460			ID	IDN
ms_Latn-BN	ms_Latn	BN	Malay (Latin)	official	0.9300			BN	BRN
ms_Latn-MY	ms_Latn	MY	Malay (Latin)	official	0.7500			MY	MYS
ms_Latn-SG	ms_Latn	SG	Malay (Latin)	official	0.1400			SG	SGP
mt-MT	mt	MT	Maltese	official	1.0000			MT	MLT
mtr-IN	mtr	IN	Mewari		0.0010			IN	IND
mua-CM	mua	CM	Mundang		0.0100			CM	CMR
mus-US	mus	US	Creek		0.0000			US	USA
mvy-PK	mvy	PK	Indus Kohistani		0.0014			PK	PAK
mwk-ML	mwk	ML	Kita Maninkakan		0.0500			ML	MLI
mwr-IN	mwr	IN	Marwari		0.0120	R1126		IN	IND
mwv-ID	mwv	ID	Mentawai		0.0002			ID	IDN
mxc-ZW	mxc	ZW	Manyika		0.0650			ZW	ZWE
my-BD	my	BD	Burmese		0.0021			BD	BGD
my-MM	my	MM	Burmese	official	0.6400			MM	MMR
myv-RU	myv	RU	Erzya	official_regional	0.0031			RU	RUS
myx-UG	myx	UG	Masaaba		0.0290			UG	UGA
mzn-IR	mzn	IR	Mazanderani		0.0500			IR	IRN
na-NR	na	NR	Nauru	official	0.7300	R1154		NR	NRU
nan-CN	nan	CN	Min Nan Chinese		0.0190			CN	CHN
nap-IT	nap	IT	Neapolitan		0.0097	R1148	5	IT	ITA
naq-NA	naq	NA	Nama		0.0920	R1182		NA	NAM
nb-NO	nb	NO	Norwegian Bokmål	official	1.0000			NO	NOR
nb-SJ	nb	SJ	Norwegian Bokmål	official	0.8000	R1116		SJ	SJM
nch-MX	nch	MX	Central Huasteca Nahuatl		0.0019			MX	MEX
nd-ZW	nd	ZW	North Ndebele	official	0.1200			ZW	ZWE
ndc-MZ	ndc	MZ	Ndau		0.0990			MZ	MOZ
ndc-ZW	ndc	ZW	Ndau		0.0610			ZW	ZWE
nds-DE	nds	DE	Low German		0.1200	R1167	5	DE	DEU
nds-NL	nds	NL	Low German		0.0080	R1026	5	NL	NLD
ne-BT	ne	BT	Nepali		0.1700			BT	BTN
ne-IN	ne	IN	Nepali	official_regional	0.0056			IN	IND
ne-NP	ne	NP	Nepali	official	0.4400			NP	NPL
new-NP	new	NP	Newari		0.0330			NP	NPL
ng-NA	ng	NA	Ndonga		0.2100			NA	NAM
ngl-MZ	ngl	MZ	Lomwe		0.0680			MZ	MOZ
nhe-MX	nhe	MX	Eastern Huasteca Nahuatl		0.0039			MX	MEX
nhw-MX	nhw	MX	Western Huasteca Nahuatl		0.0038			MX	MEX
nij-ID	nij	ID	Ngaju		0.0037			ID	IDN
niu-NU	niu	NU	Niuean	official	0.9500	R1155		NU	NIU
njo-IN	njo	IN	Ao Naga		0.0002			IN	IND
nl-AW	nl	AW	Dutch	official	0.9700	R1000		AW	ABW
nl-BE	nl	BE	Dutch	official	0.5500	R1004		BE	BEL
nl-BQ	nl	BQ	Dutch	official	0.0800			BQ	BES
nl-CW	nl	CW	Dutch	official	0.0800	R1221		CW	CUW
nl-DE	nl	DE	Dutch		0.0900	R1304		DE	DEU
nl-FR	nl	FR	Dutch		0.0013			FR	FRA
nl-NL	nl	NL	Dutch	official	1.0000	R1042		NL	NLD
nl-SR	nl	SR	Dutch	official	0.9000	R1163		SR	SUR
nl-SX	nl	SX	Dutch	official	0.0400	R1238		SX	SXM
nmg-CM	nmg	CM	Kwasio		0.0004	R1246	10	CM	CMR
nn-NO	nn	NO	Norwegian Nynorsk	official	0.2500			NO	NOR
nnh-CM	nnh	CM	Ngiemboon		0.0140	R1208	8	CM	CMR
nod-TH	nod	TH	Northern Thai		0.0960		5	TH	THA
noe-IN	noe	IN	Nimadi		0.0013			IN	IND
nqo-GN	nqo	GN	NʼKo		0.0500	R1286		GN	GIN
nr-ZA	nr	ZA	South Ndebele	official_regional	0.0160		50	ZA	ZAF
nsk-CA	nsk	CA	Naskapi		0.0000	R1063		CA	CAN
